Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.01     0.00        4     0.00     0.00  _ZN9__gnu_cxx13new_allocatorISt13_Rb_tree_nodeISt4pairIKSsSsEEE9constructIS5_IS2_ISsSsEEEEvPT_DpOT0_
  0.00      0.01     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::string const, std::string> > >::max_size() const
  0.00      0.01     0.00        4     0.00     0.00  std::move_iterator<std::string*>::operator*() const
  0.00      0.01     0.00        4     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, std::string> >::operator*() const
  0.00      0.01     0.00        4     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, std::string> >::operator!=(std::_Rb_tree_iterator<std::pair<std::string const, std::string> > const&) const
  0.00      0.01     0.00        4     0.00     0.00  std::map<std::string, std::string, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::size() const
  0.00      0.01     0.00        4     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::size() const
  0.00      0.01     0.00        4     0.00     0.00  std::allocator<std::string>::allocator()
  0.00      0.01     0.00        4     0.00     0.00  std::allocator<std::string>::~allocator()
  0.00      0.01     0.00        4     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_Vector_impl::_Vector_impl()
  0.00      0.01     0.00        4     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_Vector_impl::~_Vector_impl()
  0.00      0.01     0.00        4     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_Vector_base()
  0.00      0.01     0.00        4     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::~_Vector_base()
  0.00      0.01     0.00        4     0.00     0.00  std::_Rb_tree_node<std::pair<std::string const, std::string> >::_Rb_tree_node<std::pair<std::string, std::string> >(std::pair<std::string, std::string>&&)
  0.00      0.01     0.00        4     0.00     0.00  std::_Rb_tree_node<std::pair<std::string const, std::string> >::~_Rb_tree_node()
  0.00      0.01     0.00        4     0.00     0.00  std::move_iterator<std::string*>::operator++()
  0.00      0.01     0.00        4     0.00     0.00  std::enable_if<std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<std::string const, std::string> > > >::__construct_helper<std::_Rb_tree_node<std::pair<std::string const, std::string> >, std::pair<std::string, std::string> >::value, void>::type std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<std::string const, std::string> > > >::_S_construct<std::_Rb_tree_node<std::pair<std::string const, std::string> >, std::pair<std::string, std::string> >(std::allocator<std::_Rb_tree_node<std::pair<std::string const, std::string> > >&, std::_Rb_tree_node<std::pair<std::string const, std::string> >*, std::pair<std::string, std::string>&&)
